,Ecadherin,miR200,miR34,Snail,Twist1,ZEB1,EpCAM,THY1,MYC,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,att_stability,F_major_att,major_att_size
"[('EpCAM', 1), ('THY1', 1)]",1.0,0.2886662125675741,0.5773324251351482,0.0,0.8522229790540432,0.7044459581080863,1.0,1.0,0.8453351497297036,0.6193220073158181,0.4656088470426403,0.2955540418919137,0.0,0.6477770209459568,0.4011825649053107,0.3016107118633632,0.0727069955702908,-21.0,0.9862243413513208
"[('MDM2', 1), ('THY1', 1)]",0.96032343629674,0.0,0.1314223781409543,0.03967656370326,1.0,0.9300647443027864,1.0,1.0,0.9300647443027864,0.4391824254002688,0.2646835482736646,0.0302586919939533,0.0,0.5151293459969767,0.2262357555698065,0.136346263118372,1.1078654699570474,-27.0,0.6714240894441117
"[('Ecadherin', 1), ('THY1', 1)]",1.0,0.2886603049427794,0.5773206098855589,0.0,0.8522328250953675,0.704465650190735,0.7113396950572205,1.0,0.845358780228882,0.5845582808577938,0.4886927951677661,0.2955343498092649,0.0,0.6477671749046325,0.3786576661583618,0.3165591513220721,0.0725892212734722,-21.571428571428573,0.9862519102670292
"[('GRB2SOS', 1), ('THY1', 1)]",1.0,0.2886559829264324,0.5773119658528649,0.0,0.8522400284559458,0.7044800569118919,0.7113440170735675,1.0,0.8453760682942701,0.5845529837634514,0.4886866100513858,0.2955199430881081,0.0,0.6477599715440541,0.3786500241286052,0.3165516246208459,0.0725030221372415,-24.428571428571427,0.9862720796766484
"[('TAK1', 1), ('THY1', 1)]",0.859180096386535,0.2887701445798025,0.5775402891596051,0.1408199036134649,0.8520497590336623,0.7040995180673247,0.7112298554201973,1.0,0.8449194216807897,0.5670507730642754,0.4636584709610952,0.1550805783192103,0.0,0.5775402891596051,0.3274946674437192,0.2677814473901713,0.0747699307084583,-18.714285714285715,0.9857393252942548
"[('THY1', 1), ('miR200', 1)]",1.0,1.0,1.0,0.0,0.8522177481903848,0.0,0.7113306489142309,1.0,0.7044354963807695,0.7753170860003672,0.7236696009943248,1.0,-1.0,1.0,0.7753170860003672,0.7236696009943248,0.0727695422476304,-29.857142857142858,0.9862096949330772
"[('AKT', 1), ('THY1', 1)]",1.0,0.2880299618421594,0.5760599236843188,0.0,0.8532833969297343,0.7065667938594686,0.7119700381578407,1.0,0.8478801526313623,0.5837857173660894,0.4877909320285613,0.2934332061405313,0.0,0.6467166030702657,0.3775439160559355,0.31546249456999,0.0596754369663149,-21.857142857142858,0.989193511403256
"[('THY1', 1), ('miR34', 1)]",1.0,0.2885279157969012,1.0,0.0,0.8524534736718312,0.7049069473436628,0.7114720842030988,1.0,0.7049069473436628,0.650950352286644,0.5733927459463672,0.2950930526563372,0.0,0.6475465263281686,0.4215206394353139,0.3712984808593401,0.0699349980608953,-22.142857142857142,0.9868697262811278
"[('IKK', 1), ('THY1', 1)]",1.0,0.288680538010594,0.5773610760211881,0.0,0.8521991033156765,0.7043982066313531,0.7113194619894059,1.0,0.8452778479576237,0.5845830786363442,0.4887217503978208,0.2956017933686469,0.0,0.6478008966843234,0.378693442527106,0.3165943881368404,0.0729923552414238,-17.0,0.9861574892838944
"[('MEK', 1), ('THY1', 1)]",0.7804655449194363,0.0048932754622748,0.7804655449194363,0.2195344550805636,0.9951067245377252,0.9902134490754504,0.0048932754622748,1.0,0.9902134490754504,0.3438153702020966,0.395767002408106,-0.209747904156014,0.0,0.3951260479219929,0.1358504084427914,0.1563778515594487,0.8879344071185465,-23.0,0.6207622331886556
"[('AP1', 1), ('THY1', 1)]",0.295849813428821,0.2887549440286463,0.295849813428821,0.704150186571179,0.9929051305998252,0.704150186571179,1.0,1.0,0.9858102611996504,0.4120091940017051,0.2227513692083071,-0.4083003731423579,0.0,0.295849813428821,0.1218928431763633,0.065900951021292,0.0744692750132528,-21.857142857142858,0.9858102611996504
"[('THY1', 1), ('bcatenin', 1)]",1.0,0.2857142857142857,0.5714285714285714,0.0,0.8571428571428571,0.7142857142857143,0.7142857142857143,1.0,0.8571428571428571,0.5809475019311126,0.4844813951249544,0.2857142857142857,0.0,0.6428571428571428,0.3734662512414294,0.3114523254374706,0.0,-21.571428571428573,1.0
"[('TGFb', 1), ('THY1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-75.0,1.0
"[('Snail', 1), ('THY1', 1)]",0.0,0.2886328852610723,0.2886328852610723,1.0,1.0,0.7113671147389277,0.7113671147389277,1.0,0.9931899343908313,0.2835035922592248,0.1466474551202272,-0.7113671147389277,1.0,0.1443164426305361,0.0409142299078293,0.0211636390437724,0.072041847379818,-24.142857142857142,0.9863798687816626
