,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
doubleIndegree,8.0,8.0,10.0,6.0,12.0,190.0,6.0,2.0,8.0,4.0,4.0,4.0,12.0,4.0,6.0,6.0,6.0,2.0,4.0,6.0,14.0,2.0,2.0,2.0,8.0,6.0,8.0,6.0,8.0,10.0,4.0,2.0
"[('miR34', 1)]",0.0,0.0,0.0,0.08333333333333333,0.0,-0.01381578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.010416666666666666,0.0,-0.10416666666666667,0.0,0.0,0.0,0.0,0.0,-0.15178571428571427,0.0,0.0,0.0,-0.03125,0.041666666666666664,-0.03125,0.0,0.0,-0.025,0.0,0.0
"[('ZEB1', 1)]",0.0,0.0,0.0,0.041666666666666664,0.010416666666666666,0.017763157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10416666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0375,0.0,0.0
"[('ERK', 0)]",0.0,-0.1875,0.0625,-0.041666666666666664,0.052083333333333336,-0.046052631578947366,-0.16666666666666666,0.0,0.0,-0.0625,0.0,-0.25,0.03125,0.0,-0.020833333333333332,0.0,0.0,0.0,0.0,-0.3333333333333333,-0.22321428571428573,0.0,0.0,0.0,-0.03125,-0.041666666666666664,-0.09375,0.0,0.0,0.0125,0.0,0.0
"[('SMAD4', 0)]",0.0,-0.0625,-0.0625,0.0,0.010416666666666666,-0.028289473684210528,-0.16666666666666666,0.0,0.0,-0.0625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2916666666666667,-0.09821428571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('SMAD23', 1)]",-0.125,0.0625,0.0625,0.041666666666666664,0.010416666666666666,0.05131578947368421,0.16666666666666666,0.0,0.0,0.1875,0.25,0.0,0.052083333333333336,0.0,0.020833333333333332,0.0,0.0,0.0,1.0,0.16666666666666666,0.09821428571428571,0.0,0.0,0.0,-0.09375,-0.041666666666666664,-0.03125,0.0,0.03125,0.0375,0.0,0.0
"[('p38', 1)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('RAS', 0)]",-0.125,0.0,0.0,0.0,0.0,-0.04671052631578947,-0.08333333333333333,0.0,0.0,-0.1875,0.0,0.0,0.0,0.0,-0.08333333333333333,-0.16666666666666666,-0.10416666666666667,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08333333333333333,0.0,0.0,-0.5,0.0
"[('AP1', 1)]",0.0,0.265625,0.0,0.0,0.0,0.014473684210526316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044642857142857144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('RAS', 1), ('TGFb', 0)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
