,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
doubleOutdegree,6.0,4.0,22.0,0.0,2.0,190.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,6.0,2.0,2.0,8.0,2.0,16.0,12.0,4.0,18.0,8.0,0.0,4.0,8.0,18.0,2.0,6.0,2.0,20.0
"[('miR34', 1)]",-0.020833333333333332,-0.09375,0.005681818181818182,,0.03125,-0.01381578947368421,-0.15625,0.0,0.0,0.0,0.0,0.0,,-0.3125,0.0,0.0,0.0,0.0,0.0,0.0390625,0.010416666666666666,0.0,-0.06944444444444445,0.0,,0.1875,0.046875,-0.010416666666666666,0.0625,-0.14583333333333334,0.0,-0.0375
"[('ZEB1', 1)]",0.0,0.0,0.014204545454545454,,0.0,0.017763157894736842,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,-0.0078125,-0.010416666666666666,0.0,0.034722222222222224,0.0,,0.0625,0.09375,0.010416666666666666,0.4375,0.10416666666666667,0.0,0.0
"[('ERK', 0)]",-0.020833333333333332,-0.09375,0.019886363636363636,,0.03125,-0.046052631578947366,-0.21875,0.0,0.0,0.0,0.0,0.8125,,-0.3125,-0.041666666666666664,-0.125,-0.25,-0.125,-0.5,-0.1328125,-0.010416666666666666,0.0,-0.0763888888888889,0.0,,0.1875,0.0,-0.027777777777777776,0.1875,-0.0625,-0.25,-0.1
"[('SMAD4', 0)]",-0.041666666666666664,-0.03125,0.02556818181818182,,0.03125,-0.028289473684210528,-0.09375,0.0,0.0,0.0,0.0,0.1875,,-0.1875,-0.041666666666666664,-0.125,0.0,0.0,-0.5,-0.109375,0.0,0.0,-0.09722222222222222,0.0,,0.0,0.015625,-0.006944444444444444,0.0,0.020833333333333332,0.0,-0.01875
"[('SMAD23', 1)]",-0.0625,0.03125,-0.002840909090909091,,0.03125,0.05131578947368421,0.15625,0.25,0.0,0.0,0.0,-0.1875,,0.1875,0.4583333333333333,-0.125,0.0,-0.125,-0.5,0.1015625,0.052083333333333336,0.0,0.2152777777777778,0.125,,0.1875,-0.125,0.0,0.0625,0.020833333333333332,0.25,0.0125
"[('p38', 1)]",0.0,0.0,0.011363636363636364,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,-0.25,0.0,-0.046875,0.0,0.5,0.0,0.0,,0.0625,0.0,0.0,0.0,0.0,0.125,0.0
"[('RAS', 0)]",-0.125,0.0,0.017045454545454544,,0.0,-0.04671052631578947,0.0,-0.75,0.25,0.0,0.0,0.0,,0.0,-0.125,0.125,0.25,-0.5625,0.0,-0.015625,0.0,0.0,-0.05555555555555555,0.0,,0.0,0.0,-0.05555555555555555,0.0,0.0,0.0,0.0375
"[('AP1', 1)]",0.0,0.0625,0.03125,,0.0,0.014473684210526316,0.03125,0.0,0.0,0.0,0.0,0.0,,0.0625,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.006944444444444444,0.0,,-0.0625,0.0,-0.003472222222222222,0.0,-0.020833333333333332,0.75,0.0125
"[('RAS', 1), ('TGFb', 0)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
