,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
doubleIndegree,8.0,8.0,10.0,6.0,12.0,190.0,6.0,2.0,8.0,4.0,4.0,4.0,12.0,4.0,6.0,6.0,6.0,2.0,4.0,6.0,14.0,2.0,2.0,2.0,8.0,6.0,8.0,6.0,8.0,10.0,4.0,2.0
"[('RAF', 1)]",-0.125,-0.1875,-0.125,-0.20833333333333334,-0.13541666666666666,-0.17434210526315788,-0.16666666666666666,-0.5,-0.125,-0.1875,-0.25,-0.1875,-0.13541666666666666,-0.5,-0.22916666666666666,-0.16666666666666666,0.041666666666666664,0.5,-0.5,-0.16666666666666666,-0.16964285714285715,-0.5,-0.5,-0.5,-0.15625,-0.125,-0.15625,-0.16666666666666666,-0.125,-0.1625,0.0,-0.5
"[('AKT', 0)]",-0.125,-0.1875,-0.1625,-0.20833333333333334,-0.13541666666666666,-0.18947368421052632,-0.16666666666666666,-0.5,-0.125,-0.5,-0.25,-0.25,-0.13541666666666666,-0.5,-0.22916666666666666,-0.16666666666666666,-0.16666666666666666,0.5,-0.5,-0.16666666666666666,-0.16964285714285715,-0.5,-0.5,-0.5,-0.125,-0.125,-0.15625,-0.16666666666666666,-0.125,-0.1625,0.0,-0.5
"[('ERK', 0)]",-0.125,-0.375,-0.1,-0.25,-0.08333333333333333,-0.23026315789473684,-0.3333333333333333,-0.5,-0.125,-0.25,-0.25,-0.5,-0.10416666666666667,-0.5,-0.25,-0.16666666666666666,-0.16666666666666666,0.5,-0.5,-0.5,-0.39285714285714285,-0.5,-0.5,-0.5,-0.1875,-0.16666666666666666,-0.25,-0.16666666666666666,-0.125,-0.15,0.0,-0.5
"[('ZEB1', 0)]",-0.125,-0.1875,-0.1625,-0.25,-0.14583333333333334,-0.20592105263157895,-0.16666666666666666,-0.5,-0.125,-0.1875,-0.25,-0.25,-0.125,-0.5,-0.3333333333333333,-0.16666666666666666,-0.16666666666666666,0.5,-0.5,-0.16666666666666666,-0.32142857142857145,-0.5,-0.5,-0.5,-0.1875,-0.08333333333333333,-0.171875,-0.16666666666666666,-0.125,-0.2625,0.0,-0.5
"[('PI3K', 0)]",-0.25,-0.1875,-0.1625,-0.20833333333333334,-0.13541666666666666,-0.1881578947368421,-0.16666666666666666,-0.5,-0.125,-0.375,-0.25,-0.25,-0.13541666666666666,-0.5,-0.22916666666666666,0.0,-0.16666666666666666,0.5,-0.5,-0.16666666666666666,-0.16964285714285715,-0.5,-0.5,-0.5,-0.15625,-0.125,-0.15625,-0.16666666666666666,-0.125,-0.1625,0.0,-0.5
"[('GSK3b', 0)]",-0.125,-0.1875,-0.125,-0.20833333333333334,-0.14583333333333334,-0.16776315789473684,0.0,-0.5,0.0,-0.1875,-0.25,-0.25,-0.13541666666666666,-0.5,-0.0625,-0.16666666666666666,-0.16666666666666666,0.5,-0.5,-0.16666666666666666,-0.125,-0.5,-0.5,-0.5,-0.1875,-0.125,-0.125,-0.2916666666666667,-0.125,-0.1625,0.0,-0.5
"[('miR34', 1)]",-0.125,-0.1875,-0.1625,-0.125,-0.13541666666666666,-0.1980263157894737,-0.16666666666666666,-0.5,-0.125,-0.1875,-0.25,-0.25,-0.125,-0.5,-0.3333333333333333,-0.16666666666666666,-0.16666666666666666,0.5,-0.5,-0.16666666666666666,-0.32142857142857145,-0.5,-0.5,-0.5,-0.1875,-0.08333333333333333,-0.1875,-0.16666666666666666,-0.125,-0.1875,0.0,-0.5
"[('AP1', 0)]",-0.125,-0.078125,-0.1625,-0.20833333333333334,-0.13541666666666666,-0.18289473684210528,-0.16666666666666666,-0.5,-0.125,-0.1875,-0.25,-0.25,-0.13541666666666666,-0.5,-0.22916666666666666,-0.16666666666666666,-0.16666666666666666,0.5,-0.5,-0.16666666666666666,-0.21428571428571427,-0.5,-0.5,-0.5,-0.15625,-0.125,-0.15625,-0.16666666666666666,-0.125,-0.1625,0.0,-0.5
"[('PI3K', 1)]",0.0,-0.1875,-0.1625,-0.20833333333333334,-0.13541666666666666,-0.17105263157894737,-0.16666666666666666,-0.5,-0.125,0.0,-0.25,-0.25,-0.13541666666666666,-0.5,-0.22916666666666666,0.0,-0.16666666666666666,0.5,-0.5,-0.16666666666666666,-0.16964285714285715,-0.5,-0.5,-0.5,-0.1875,-0.125,-0.15625,-0.16666666666666666,-0.125,-0.1625,0.0,-0.5
