,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
doubleOutdegree,6.0,4.0,22.0,0.0,2.0,190.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,6.0,2.0,2.0,8.0,2.0,16.0,12.0,4.0,18.0,8.0,0.0,4.0,8.0,18.0,2.0,6.0,2.0,20.0
"[('RAF', 1)]",-0.020833333333333332,-0.15625,-0.09943181818181818,,-0.03125,-0.17434210526315788,-0.03125,0.25,-0.5,-0.5,-0.5,-0.125,,-0.1875,-0.2916666666666667,-0.375,-0.5,0.0,0.0,-0.15625,-0.17708333333333334,-0.5,-0.19444444444444445,-0.375,,-0.1875,-0.125,-0.09027777777777778,-0.4375,-0.22916666666666666,-0.25,-0.23125
"[('AKT', 0)]",-0.125,-0.15625,-0.17897727272727273,,-0.03125,-0.18947368421052632,-0.09375,0.25,-0.5,-0.5,-0.5,-0.3125,,-0.1875,-0.5,0.0,-0.25,0.125,0.0,-0.1171875,-0.1875,-0.5,-0.2847222222222222,-0.375,,-0.1875,-0.125,-0.10416666666666667,-0.4375,-0.22916666666666666,-0.25,-0.20625
"[('ERK', 0)]",-0.041666666666666664,-0.25,-0.17045454545454544,,0.0,-0.23026315789473684,-0.25,0.25,-0.5,-0.5,-0.5,0.5,,-0.5,-0.3333333333333333,-0.5,-0.5,0.0,-0.5,-0.265625,-0.1875,-0.5,-0.3611111111111111,-0.375,,0.0,-0.125,-0.1111111111111111,-0.25,-0.2916666666666667,-0.5,-0.325
"[('ZEB1', 0)]",-0.041666666666666664,-0.25,-0.1875,,0.0,-0.20592105263157895,-0.1875,0.25,-0.5,-0.5,-0.5,-0.3125,,-0.5,-0.2916666666666667,-0.375,-0.25,0.125,0.0,-0.0859375,-0.22916666666666666,-0.5,-0.3541666666666667,-0.375,,0.0,-0.28125,-0.08333333333333333,0.0,-0.375,-0.25,-0.26875
"[('PI3K', 0)]",-0.14583333333333334,-0.15625,-0.1903409090909091,,-0.03125,-0.1881578947368421,-0.03125,0.0,-0.5,-0.5,-0.5,-0.3125,,-0.1875,-0.4166666666666667,-0.25,-0.25,0.25,0.0,-0.1484375,-0.17708333333333334,-0.5,-0.2847222222222222,-0.375,,-0.1875,-0.125,-0.08333333333333333,-0.4375,-0.22916666666666666,-0.25,-0.1875
"[('GSK3b', 0)]",0.0,-0.171875,-0.14204545454545456,,-0.03125,-0.16776315789473684,0.1875,0.25,-0.5,-0.5,-0.5,-0.375,,-0.125,-0.2916666666666667,-0.375,-0.25,0.0,0.0,-0.109375,-0.15625,-0.5,-0.2708333333333333,-0.375,,-0.1875,-0.1328125,0.027777777777777776,-0.5,-0.23958333333333334,-0.25,-0.25
"[('miR34', 1)]",-0.041666666666666664,-0.25,-0.1846590909090909,,0.0,-0.1980263157894737,-0.1875,0.25,-0.5,-0.5,-0.5,-0.3125,,-0.5,-0.2916666666666667,-0.375,-0.25,0.125,0.0,-0.09375,-0.16666666666666666,-0.5,-0.3541666666666667,-0.375,,0.0,-0.078125,-0.09375,-0.375,-0.375,-0.25,-0.2625
"[('AP1', 0)]",-0.020833333333333332,-0.21875,-0.17613636363636365,,-0.03125,-0.18289473684210528,-0.0625,0.25,-0.5,-0.5,-0.5,-0.3125,,-0.25,-0.2916666666666667,-0.375,-0.25,0.125,0.0,-0.140625,-0.17708333333333334,-0.5,-0.2916666666666667,-0.375,,0.125,-0.125,-0.0798611111111111,-0.4375,-0.20833333333333334,-0.5,-0.2375
"[('PI3K', 1)]",0.0,-0.15625,-0.20170454545454544,,-0.03125,-0.17105263157894737,0.03125,0.5,-0.5,-0.5,-0.5,-0.3125,,-0.1875,-0.16666666666666666,-0.5,-0.25,0.0,0.0,-0.1171875,-0.16666666666666666,-0.5,-0.2847222222222222,-0.375,,-0.1875,-0.125,-0.0625,-0.4375,-0.22916666666666666,-0.25,-0.16875
"[('Twist1', 1)]",-0.020833333333333332,-0.15625,-0.1846590909090909,,-0.03125,-0.1723684210526316,-0.03125,0.25,-0.5,-0.5,-0.5,-0.3125,,-0.1875,-0.2916666666666667,-0.375,-0.25,0.125,0.0,-0.1328125,-0.14583333333333334,-0.5,-0.2847222222222222,-0.375,,0.0,-0.09375,-0.08333333333333333,-0.4375,-0.22916666666666666,0.0,-0.2125
"[('MYC', 0)]",-0.020833333333333332,-0.15625,-0.19602272727272727,,0.0625,-0.17894736842105263,-0.03125,0.25,-0.5,-0.5,-0.5,-0.3125,,-0.1875,-0.2916666666666667,-0.375,-0.25,0.125,0.0,-0.1171875,-0.17708333333333334,-0.5,-0.2847222222222222,-0.375,,-0.1875,-0.125,-0.07291666666666667,-0.4375,-0.22916666666666666,-0.25,-0.2
"[('IKK', 0)]",-0.020833333333333332,-0.15625,-0.1903409090909091,,-0.03125,-0.18421052631578946,-0.03125,0.25,-0.5,-0.5,-0.5,-0.3125,,-0.1875,-0.2916666666666667,-0.375,-0.25,0.125,0.0,-0.1328125,-0.17708333333333334,-0.5,-0.2847222222222222,-0.375,,-0.1875,-0.125,-0.08333333333333333,-0.4375,-0.22916666666666666,-0.25,-0.225
"[('TAK1', 0)]",-0.020833333333333332,-0.15625,-0.1903409090909091,,-0.03125,-0.18421052631578946,-0.03125,0.25,-0.5,-0.5,-0.5,-0.3125,,-0.1875,-0.2916666666666667,-0.375,-0.25,0.125,0.0,-0.1328125,-0.17708333333333334,-0.5,-0.2847222222222222,-0.375,,-0.1875,-0.125,-0.08333333333333333,-0.4375,-0.22916666666666666,-0.25,-0.225
"[('RAS', 1), ('TGFb', 0)]",-0.020833333333333332,-0.15625,-0.1903409090909091,,-0.03125,-0.18421052631578946,-0.03125,0.25,-0.5,-0.5,-0.5,-0.3125,,-0.1875,-0.2916666666666667,-0.375,-0.25,0.125,0.0,-0.1328125,-0.17708333333333334,-0.5,-0.2847222222222222,-0.375,,-0.1875,-0.125,-0.08333333333333333,-0.4375,-0.22916666666666666,-0.25,-0.225
"[('MDM2', 0)]",-0.3333333333333333,-0.3125,-0.20454545454545456,,-0.125,-0.25263157894736843,-0.25,0.0,-0.5,-0.5,-0.5,-0.375,,-0.5,-0.5,-0.5,-0.25,0.25,0.0,-0.03125,-0.4166666666666667,-0.5,-0.3472222222222222,-0.5,,-0.125,-0.34375,-0.06944444444444445,-0.5,-0.5,-0.25,-0.25
"[('TGFBR', 0)]",-0.020833333333333332,-0.15625,-0.1903409090909091,,-0.03125,-0.18421052631578946,-0.03125,0.25,-0.5,-0.5,-0.5,-0.3125,,-0.1875,-0.2916666666666667,-0.375,-0.25,0.125,0.0,-0.1328125,-0.17708333333333334,-0.5,-0.2847222222222222,-0.375,,-0.1875,-0.125,-0.08333333333333333,-0.4375,-0.22916666666666666,-0.25,-0.225
"[('RAS', 0)]",-0.14583333333333334,-0.15625,-0.17329545454545456,,-0.03125,-0.23092105263157894,-0.03125,-0.5,-0.25,-0.5,-0.5,-0.3125,,-0.1875,-0.4166666666666667,-0.25,0.0,-0.4375,0.0,-0.1484375,-0.17708333333333334,-0.5,-0.3402777777777778,-0.375,,-0.1875,-0.125,-0.1388888888888889,-0.4375,-0.22916666666666666,-0.25,-0.1875
