,Ecadherin,EpCAM,MYC,Snail,THY1,Twist1,ZEB1,miR200,miR34,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,F_major_att,att_stability,major_att_size
Desired1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,,,
Desired2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0,-1.0,1.0,0.0,1.0000000000000002,,,
"[('AKT', 0)]",1.0,0.7114123730572843,0.8287850235332501,0.0,0.5259679369225068,0.8928228312386124,0.6558067996998658,0.2885876269427156,0.5771752538854312,0.787923526622021,0.7231253097225988,0.3441932003001342,0.0,0.6720966001500671,0.5295607234209112,0.4860100621470229,-2.0,1.0603413143311093,0.45189757632588723
"[('AKT', 1)]",1.0,0.7119294528540806,0.8477178114163224,0.0,0.7119294528540806,0.8532157547568009,0.7064315095136021,0.28807054714591934,0.5761410942918387,0.7808083394228728,0.7065896589536841,0.2935684904863979,0.0,0.6467842452431989,0.5050145324932183,0.4570110592630079,-21.285714285714285,0.060529231232940725,0.9890041133190429
"[('AP1', 0)]",1.0,0.5704382074708755,0.8452584896505061,0.0,0.7043820747087551,0.8521910373543775,0.7043820747087551,0.28868537758737345,0.5773707551747469,0.7634882309227295,0.6825721461813878,0.29561792529124487,0.0,0.6478089626456225,0.4945945188661949,0.44217635394856103,-20.142857142857142,0.07308868448321491,0.9861349045922572
"[('AP1', 1)]",0.29581124184111024,1.0,0.9858642614224457,0.7041887581588898,0.9858642614224457,0.9929321307112228,0.7041887581588898,0.28874337255233307,0.29581124184111024,0.6559620485914204,0.5788045025976035,-0.4083775163177796,0.0,0.2958112418411102,0.1940409481944667,0.1712168786966232,-21.857142857142858,0.07424015868742014,0.9858642614224457
"[('ERK', 0)]",1.0,0.5,0.2684033829880266,0.0,0.2684033829880266,0.5,0.2684033829880266,0.5,1.0,0.5913238448991751,0.5928246703569389,0.7315966170119734,-1.0,0.8657983085059867,0.5119671846929622,0.5132665968356568,-26.0,1.377232438787932,0.2874821057423347
"[('ERK', 1)]",0.8077672266861456,0.0,1.0,0.1922327733138544,1.0,1.0,1.0,0.0,0.8077672266861456,0.6074101431967869,0.45157804235229165,-0.19223277331385435,0.0,0.4038836133430728,0.24532300341555158,0.18238497145163474,-25.0,0.7860070525984937,0.6764243973703433
"[('Ecadherin', 0)]",0.0,0.7113458058198984,0.8453832232795933,0.0,0.7044860193996612,0.8522430096998305,0.7044860193996612,0.28865419418010163,0.5773083883602033,0.6171450293636971,0.49060024491719145,-0.7044860193996612,1.0,0.14775699030016942,0.09118749211748957,0.0724896156294902,-21.857142857142858,0.07246733824358759,0.9862804271595256
"[('Ecadherin', 1)]",1.0,0.7113457891113162,0.8453831564452643,0.0,0.704485963704387,0.8522429818521935,0.704485963704387,0.2886542108886839,0.5773084217773679,0.7812589011312551,0.7072445604164543,0.295514036295613,0.0,0.6477570181478065,0.5060659361982137,0.45812262755661864,-21.571428571428573,0.07246767158872024,0.9862803491861417
"[('EpCAM', 0)]",1.0,0.0,0.8453345519682176,0.0,0.7044454599735147,0.8522227299867573,0.7044454599735147,0.28866636200794554,0.5773327240158911,0.6497439218184444,0.5429802023287741,0.2955545400264853,0.0,0.6477772700132427,0.4208893438832497,0.35173023313577145,-17.857142857142858,0.0727099740847807,0.9862236439629206
"[('EpCAM', 1)]",1.0,1.0,0.8453486898704209,0.0,0.704457241558684,0.852228620779342,0.704457241558684,0.28866282753239475,0.5773256550647895,0.8059370032830342,0.7459356255129461,0.29554275844131594,0.0,0.647771379220658,0.522062924181615,0.4831957489483453,-21.0,0.0726395184236232,0.9862401381821577
