,Ecadherin,miR200,miR34,Snail,Twist1,ZEB1,EpCAM,THY1,MYC,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,att_stability,F_major_att,major_att_size
"[('NOTCH', 1), ('PI3K', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.4,1.0,1.0,0.0880450906325624,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-41.8,1.0
"[('AKT', 1), ('PI3K', 1), ('TAK1', 1)]",0.8588893228522649,0.2883339842783975,0.576667968556795,0.1411106771477349,0.8527766928693373,0.7055533857386749,0.7116660157216025,0.7116660157216025,0.8466640628864097,0.5993678533487337,0.4898626599182667,0.15333593711359,0.0,0.576667968556795,0.3456362424088612,0.282488104966895,0.0659933382449989,-20.142857142857142,0.9877747400341448
"[('PI3K', 1), ('SMAD4', 1), ('TAK1', 1)]",0.0,0.0,0.0,1.0,1.0,1.0,0.4,1.0,1.0,0.0880450906325624,0.0,-1.0,1.0,0.0,0.0,0.0,0.0,-35.8,1.0
"[('GLI', 1), ('PI3K', 1), ('TAK1', 1)]",0.2949321150810229,0.2884796345243068,0.2949321150810229,0.7050678849189772,0.993547519443284,0.7050678849189772,0.7115203654756932,0.993547519443284,0.987095038886568,0.3664284418091231,0.233756167230757,-0.4101357698379543,0.0,0.2949321150810228,0.1080715153686081,0.0689422008146004,0.0689597637566956,-25.285714285714285,0.987095038886568
"[('PI3K', 1), ('TAK1', 1), ('p38', 1)]",0.8591205681949416,0.2886808522924125,0.577361704584825,0.1408794318050583,0.8521985795126458,0.7043971590252917,0.7113191477075875,0.7113191477075875,0.8452765908303499,0.5999311242669519,0.4904984876173038,0.15472340916965,0.0,0.5773617045848249,0.3463772565402578,0.2831950429070051,0.0729986119902732,-20.142857142857142,0.9861560226354082
"[('PI3K', 1), ('RAF', 1), ('TAK1', 1)]",0.7230272944065356,0.0063484286827379,0.7230272944065356,0.2769727055934644,0.993651571317262,0.987303142634524,0.0063484286827379,0.993651571317262,0.987303142634524,0.3246787547024105,0.3732751535601282,-0.2642758482279884,0.0,0.3678620758860058,0.1194370007009119,0.1373137728652963,0.946296165856494,-23.0,0.4997166670601846
"[('NFKB', 1), ('PI3K', 1), ('TAK1', 1)]",0.8590441720677036,0.2885662581015555,0.5771325162031111,0.1409558279322962,0.8523895698307404,0.7047791396614812,0.7114337418984443,0.7114337418984443,0.8457349675937773,0.5997450199977156,0.4902883943567527,0.1542650324062223,0.0,0.5771325162031111,0.3461323524715667,0.2829613747002959,0.0707066805858999,-20.142857142857142,0.9866907955260736
"[('GRB2SOS', 1), ('PI3K', 1), ('TAK1', 1)]",0.8591120822756653,0.288668123413498,0.577336246826996,0.1408879177243346,0.8522197943108366,0.7044395886216733,0.7113318765865021,0.7113318765865021,0.8453275063460078,0.5999104513551974,0.4904751491562203,0.1546724936539919,0.0,0.577336246826996,0.3463500484176988,0.2831690817757633,0.0727450781792615,-22.142857142857142,0.9862154240703426
"[('PI3K', 1), ('TAK1', 1), ('p53', 1)]",1.0,1.0,1.0,0.0,0.5919188742034309,0.0,0.3946125828022873,0.0,0.0,0.9064604792603166,0.9250160758174192,1.0,-1.0,1.0,0.9064604792603166,0.9250160758174192,0.0713918135690946,-23.8,0.9865314570057184
"[('GSK3b', 1), ('PI3K', 1), ('TAK1', 1)]",0.8657464224862083,0.4328732112431041,0.8657464224862083,0.1342535775137917,0.6342535775137917,0.2013803662706876,0.6342535775137917,0.5671267887568958,0.1342535775137917,0.8232369383775977,0.7351586216208722,0.6643660562155207,-1.0,0.8321830281077603,0.685083808229231,0.6117865278799847,0.5817683627898736,-38.0,0.7314928449724165
