,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
doubleOutdegree,6.0,4.0,22.0,0.0,2.0,190.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,6.0,2.0,2.0,8.0,2.0,16.0,12.0,4.0,18.0,8.0,0.0,4.0,8.0,18.0,2.0,6.0,2.0,20.0
"[('NOTCH', 0), ('RAF', 1)]",0.0,0.0,-0.09090909090909091,,1.0,-0.02631578947368421,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,0.125,-0.25,0.0,-0.05555555555555555,0.125,,0.0,-0.25,-0.05555555555555555,0.0,-0.16666666666666666,0.0,-0.2
"[('AP1', 0), ('THY1', 1)]",0.0,0.0,0.0,,1.0,-0.04736842105263158,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,0.0,-0.05555555555555555,-0.125,,0.5,-0.25,-0.16666666666666666,0.0,-0.5,1.0,-0.2
"[('MEK', 0), ('THY1', 1)]",0.16666666666666666,-0.5,0.22727272727272727,,0.5,0.010526315789473684,0.25,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,1.0,0.125,0.0,0.3125,-0.25,0.0,0.05555555555555555,-0.125,,0.0,0.0,0.1111111111111111,0.0,-0.3333333333333333,0.0,-0.35
"[('RAS', 1), ('p53', 1)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('AP1', 0), ('ERK', 1)]",0.0,0.0,0.0,,1.0,-0.04736842105263158,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.25,0.0,-0.05555555555555555,-0.125,,0.5,-0.25,-0.16666666666666666,0.0,-0.5,1.0,-0.2
"[('MEK', 0), ('PI3K', 1)]",0.16666666666666666,-0.5,0.22727272727272727,,0.5,0.010526315789473684,0.25,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,1.0,0.125,0.0,0.3125,-0.25,0.0,0.05555555555555555,-0.125,,0.0,0.0,0.1111111111111111,0.0,-0.3333333333333333,0.0,-0.35
"[('GRB2SOS', 0), ('ZEB1', 0)]",0.0,-0.5,0.09090909090909091,,0.0,-0.005263157894736842,0.0,1.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.08333333333333333,0.0,0.05555555555555555,-0.125,,0.0,0.5,-0.16666666666666666,1.0,-0.5,0.0,-0.3
"[('MDM2', 1), ('ZEB1', 0)]",0.0,-0.5,0.09090909090909091,,0.0,-0.03684210526315789,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.08333333333333333,0.0,-0.05555555555555555,-0.125,,0.0,0.5,-0.16666666666666666,1.0,-0.5,0.0,-0.3
"[('GSK3b', 1), ('p38', 0)]",0.3333333333333333,0.0,0.09090909090909091,,1.0,0.05789473684210526,0.5,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.125,-0.25,0.5,-0.05555555555555555,-0.125,,0.0,-0.25,0.5,0.0,-0.5,1.0,-0.2
"[('SMAD4', 1), ('Twist1', 0)]",0.0,0.0,0.0,,1.0,-0.03684210526315789,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.08333333333333333,0.0,-0.05555555555555555,-0.125,,1.0,-0.25,-0.16666666666666666,0.0,-0.5,0.0,-0.1
"[('PI3K', 1), ('p53', 0)]",0.0,0.0,-0.09090909090909091,,1.0,-0.08947368421052632,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.25,0.0,-0.05555555555555555,-0.125,,0.0,-0.25,-0.16666666666666666,0.0,-0.5,0.0,-0.2
"[('SMAD4', 1), ('TAK1', 0)]",0.3333333333333333,0.0,-0.09090909090909091,,1.0,-0.03684210526315789,0.0,0.0,0.0,1.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.25,0.0,0.125,-0.25,0.0,0.05555555555555555,-0.125,,0.0,-0.25,-0.16666666666666666,0.0,-0.5,1.0,-0.2
"[('IKK', 0), ('MEK', 0)]",0.5,-0.5,0.22727272727272727,,0.5,0.042105263157894736,0.25,0.0,0.0,1.0,-1.0,0.0,,0.0,0.0,0.0,1.0,0.125,0.0,0.3125,-0.25,0.5,0.05555555555555555,-0.125,,0.0,0.0,0.1111111111111111,0.0,-0.3333333333333333,0.0,-0.35
"[('TGFBR', 0), ('p53', 0)]",0.4166666666666667,-0.109375,-0.045454545454545456,,0.5,0.14276315789473684,0.546875,1.0,0.0,0.5,-0.5,0.25,,0.46875,0.08333333333333333,0.0,0.25,0.5,0.25,0.34765625,0.203125,0.0,0.2465277777777778,0.1875,,0.5,0.03125,0.12152777777777778,0.125,-0.21875,0.5,-0.31875
"[('SMAD4', 0), ('miR200', 1)]",0.08333333333333333,-0.25,0.13636363636363635,,0.25,0.08947368421052632,0.25,0.0,0.0,0.0,-1.0,0.0,,0.5,0.0,0.0,0.0,0.0,1.0,0.65625,0.08333333333333333,0.0,0.19444444444444445,0.125,,0.25,-0.0625,-0.05555555555555555,0.0,-0.16666666666666666,0.0,-0.125
"[('NFKB', 1), ('ZEB1', 0)]",0.0,-0.5,0.09090909090909091,,0.0,-0.03684210526315789,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.25,-0.08333333333333333,0.0,-0.05555555555555555,-0.125,,0.0,0.5,-0.16666666666666666,1.0,-0.5,0.0,-0.3
"[('GSK3b', 1), ('TAK1', 0)]",0.6666666666666666,0.0,0.09090909090909091,,1.0,0.07894736842105263,0.5,0.0,0.0,1.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.125,-0.25,0.0,0.05555555555555555,-0.125,,0.0,-0.25,0.5,0.0,-0.5,1.0,-0.2
"[('PI3K', 0), ('RAS', 1)]",0.0,0.0,-0.09090909090909091,,1.0,-0.04736842105263158,0.0,0.5,0.0,0.0,-1.0,0.0,,0.0,0.0,1.0,0.0,0.25,0.0,0.125,-0.25,0.0,-0.05555555555555555,-0.125,,0.0,-0.25,-0.16666666666666666,0.0,-0.5,0.0,-0.1
"[('RAS', 1), ('SMAD4', 1)]",0.0,0.0,-0.09090909090909091,,1.0,-0.08947368421052632,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.25,0.0,-0.05555555555555555,-0.125,,0.0,-0.25,-0.16666666666666666,0.0,-0.5,0.0,-0.2
"[('EpCAM', 0), ('Twist1', 0)]",0.0,0.0,0.0,,1.0,-0.03684210526315789,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.08333333333333333,0.0,-0.05555555555555555,-0.125,,1.0,-0.25,-0.16666666666666666,0.0,-0.5,0.0,-0.1
"[('TGFBR', 0), ('ZEB1', 1)]",0.5416666666666666,-0.171875,-0.017045454545454544,,0.46875,0.15723684210526315,0.484375,0.75,0.0,0.5,-1.0,0.1875,,0.46875,0.10416666666666667,0.3125,0.25,0.625,0.25,0.40234375,0.015625,0.0,0.28125,0.25,,0.375,0.15625,0.125,0.25,-0.2604166666666667,0.25,-0.19375
"[('RAF', 1), ('TGFBR', 1)]",0.0,0.0,-0.09090909090909091,,1.0,-0.08947368421052632,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.25,0.0,-0.05555555555555555,-0.125,,0.0,-0.25,-0.16666666666666666,0.0,-0.5,0.0,-0.2
"[('Ecadherin', 0), ('PI3K', 0)]",0.0,0.0,-0.09090909090909091,,1.0,-0.04736842105263158,0.0,0.5,0.0,0.0,-1.0,0.0,,0.0,0.0,1.0,0.0,0.25,0.0,0.125,-0.25,0.0,-0.05555555555555555,-0.125,,0.0,-0.25,-0.16666666666666666,0.0,-0.5,0.0,-0.1
"[('RAS', 0), ('TGFBR', 0)]",0.4791666666666667,-0.171875,-0.014204545454545454,,0.46875,0.11151315789473684,0.484375,0.0,0.25,0.5,-1.0,0.1875,,0.46875,0.041666666666666664,0.625,0.5,0.0625,0.25,0.40234375,0.052083333333333336,0.0,0.1909722222222222,0.28125,,0.3125,0.09375,0.08680555555555555,0.0625,-0.2604166666666667,0.25,-0.1625
"[('NOTCH', 1), ('miR34', 0)]",0.0,0.0,-0.09090909090909091,,1.0,-0.08947368421052632,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.25,0.0,-0.05555555555555555,-0.125,,0.0,-0.25,-0.16666666666666666,0.0,-0.5,0.0,-0.2
"[('EpCAM', 1), ('TGFb', 0)]",0.4791666666666667,0.09375,-0.06534090909090909,,0.40625,0.12894736842105264,0.46875,0.75,0.0,0.0,-1.0,0.1875,,0.3125,0.20833333333333334,0.125,0.25,0.625,0.5,0.39453125,0.07291666666666667,0.0,0.1597222222222222,0.0,,0.3125,0.125,0.1423611111111111,0.0625,-0.23958333333333334,0.25,-0.203125
"[('PI3K', 1), ('Snail', 1)]",0.0,0.0,-0.09090909090909091,,1.0,-0.08947368421052632,0.0,0.0,0.0,0.0,-1.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.125,-0.25,0.0,-0.05555555555555555,-0.125,,0.0,-0.25,-0.16666666666666666,0.0,-0.5,0.0,-0.2
