,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
doubleOutdegree,6.0,4.0,22.0,0.0,2.0,190.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,6.0,2.0,2.0,8.0,2.0,16.0,12.0,4.0,18.0,8.0,0.0,4.0,8.0,18.0,2.0,6.0,2.0,20.0
"[('NOTCH', 0), ('RAF', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.33157894736842103,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.25,,-0.5,-0.5,-0.2777777777777778,-0.5,-0.16666666666666666,-0.5,-0.2
"[('AP1', 0), ('THY1', 1)]",-0.5,0.0,-0.13636363636363635,,0.5,-0.3526315789473684,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,,0.0,-0.5,-0.3888888888888889,-0.5,-0.5,0.5,-0.2
"[('MEK', 0), ('THY1', 1)]",-0.3333333333333333,-0.5,0.09090909090909091,,0.0,-0.29473684210526313,-0.25,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,0.5,-0.375,-0.5,-0.1875,-0.5,-0.5,-0.3888888888888889,-0.5,,-0.5,-0.25,-0.1111111111111111,-0.5,-0.3333333333333333,-0.5,-0.35
"[('RAS', 1), ('p53', 1)]",-0.5,0.0,-0.13636363636363635,,-0.5,-0.30526315789473685,-0.5,-0.5,-0.5,-0.5,0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.4444444444444444,-0.375,,-0.5,-0.25,-0.2222222222222222,-0.5,0.0,-0.5,0.0
"[('AP1', 0), ('ERK', 1)]",-0.5,0.0,-0.13636363636363635,,0.5,-0.3526315789473684,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,,0.0,-0.5,-0.3888888888888889,-0.5,-0.5,0.5,-0.2
"[('MEK', 0), ('PI3K', 1)]",-0.3333333333333333,-0.5,0.09090909090909091,,0.0,-0.29473684210526313,-0.25,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,0.5,-0.375,-0.5,-0.1875,-0.5,-0.5,-0.3888888888888889,-0.5,,-0.5,-0.25,-0.1111111111111111,-0.5,-0.3333333333333333,-0.5,-0.35
"[('GRB2SOS', 0), ('ZEB1', 0)]",-0.5,-0.5,-0.045454545454545456,,-0.5,-0.3105263157894737,-0.5,0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.3333333333333333,-0.5,-0.3888888888888889,-0.5,,-0.5,0.25,-0.3888888888888889,0.5,-0.5,-0.5,-0.3
"[('MDM2', 1), ('ZEB1', 0)]",-0.5,-0.5,-0.045454545454545456,,-0.5,-0.34210526315789475,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.3333333333333333,-0.5,-0.5,-0.5,,-0.5,0.25,-0.3888888888888889,0.5,-0.5,-0.5,-0.3
"[('GSK3b', 1), ('p38', 0)]",-0.16666666666666666,0.0,-0.045454545454545456,,0.5,-0.24736842105263157,0.0,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,-0.375,-0.5,0.0,-0.5,-0.5,,-0.5,-0.5,0.2777777777777778,-0.5,-0.5,0.5,-0.2
"[('SMAD4', 1), ('Twist1', 0)]",-0.5,0.0,-0.13636363636363635,,0.5,-0.34210526315789475,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.3333333333333333,-0.5,-0.5,-0.5,,0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.1
"[('PI3K', 1), ('p53', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('SMAD4', 1), ('TAK1', 0)]",-0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.34210526315789475,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.375,-0.5,-0.5,-0.3888888888888889,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,0.5,-0.2
"[('IKK', 0), ('MEK', 0)]",0.0,-0.5,0.09090909090909091,,0.0,-0.2631578947368421,-0.25,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,0.5,-0.375,-0.5,-0.1875,-0.5,0.0,-0.3888888888888889,-0.5,,-0.5,-0.25,-0.1111111111111111,-0.5,-0.3333333333333333,-0.5,-0.35
"[('TGFBR', 0), ('p53', 0)]",-0.08333333333333333,-0.109375,-0.18181818181818182,,0.0,-0.1625,0.046875,0.5,-0.5,0.0,0.0,-0.25,,-0.03125,-0.4166666666666667,-0.5,-0.25,0.0,-0.25,-0.15234375,-0.046875,-0.5,-0.19791666666666666,-0.1875,,0.0,-0.21875,-0.10069444444444445,-0.375,-0.21875,0.0,-0.31875
"[('SMAD4', 0), ('miR200', 1)]",-0.4166666666666667,-0.25,0.0,,-0.25,-0.21578947368421053,-0.25,-0.5,-0.5,-0.5,-0.5,-0.5,,0.0,-0.5,-0.5,-0.5,-0.5,0.5,0.15625,-0.16666666666666666,-0.5,-0.25,-0.25,,-0.25,-0.3125,-0.2777777777777778,-0.5,-0.16666666666666666,-0.5,-0.125
"[('NFKB', 1), ('ZEB1', 0)]",-0.5,-0.5,-0.045454545454545456,,-0.5,-0.34210526315789475,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.3333333333333333,-0.5,-0.5,-0.5,,-0.5,0.25,-0.3888888888888889,0.5,-0.5,-0.5,-0.3
"[('GSK3b', 1), ('TAK1', 0)]",0.16666666666666666,0.0,-0.045454545454545456,,0.5,-0.22631578947368422,0.0,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,0.0,-0.5,-0.375,-0.5,-0.5,-0.3888888888888889,-0.5,,-0.5,-0.5,0.2777777777777778,-0.5,-0.5,0.5,-0.2
"[('PI3K', 0), ('RAS', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.3526315789473684,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,0.5,-0.5,-0.25,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.1
"[('RAS', 1), ('SMAD4', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('EpCAM', 0), ('Twist1', 0)]",-0.5,0.0,-0.13636363636363635,,0.5,-0.34210526315789475,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.3333333333333333,-0.5,-0.5,-0.5,,0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.1
