,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
doubleOutdegree,6.0,4.0,22.0,0.0,2.0,190.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,6.0,2.0,2.0,8.0,2.0,16.0,12.0,4.0,18.0,8.0,0.0,4.0,8.0,18.0,2.0,6.0,2.0,20.0
"[('miR34', 1)]",0.0,0.0,-0.09090909090909091,,0.0,0.06315789473684211,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0,,0.0,0.25,0.0,0.0,1.0,0.0,0.1
"[('ZEB1', 1)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('ERK', 0)]",0.16666666666666666,-0.5,0.22727272727272727,,-0.5,0.08947368421052632,0.25,0.0,0.0,0.0,0.0,1.0,,0.0,0.0,0.0,0.0,0.125,0.0,0.1875,0.0,0.0,0.1111111111111111,0.0,,0.0,0.25,0.2777777777777778,0.0,0.16666666666666666,0.0,-0.15
"[('SMAD4', 0)]",0.08333333333333333,-0.25,0.19318181818181818,,-0.75,0.16578947368421051,0.25,0.0,0.0,0.0,0.0,0.0,,0.5,0.0,0.0,0.0,0.0,1.0,0.53125,0.2916666666666667,0.0,0.2361111111111111,0.09375,,0.25,0.4375,0.05555555555555555,0.0,0.2916666666666667,0.0,0.05
"[('SMAD23', 1)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('p38', 1)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('RAS', 0)]",0.08333333333333333,-0.125,0.045454545454545456,,-0.5,0.14736842105263157,0.125,1.0,0.25,0.0,0.0,0.0,,0.0,0.0,1.0,0.5,0.0625,0.0,0.125,0.0,0.5,0.16666666666666666,0.0,,0.25,0.0625,0.4722222222222222,0.0,0.08333333333333333,0.5,0.05
"[('AP1', 1)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('RAS', 1), ('TGFb', 1)]",0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
