,AKT,AP1,ERK,Ecadherin,EpCAM,Fvalue,GLI,GRB2SOS,GSK3b,IKK,MDM2,MEK,MYC,NFKB,NOTCH,PI3K,RAF,RAS,SMAD23,SMAD4,Snail,TAK1,TGFBR,TGFb,THY1,Twist1,ZEB1,bcatenin,miR200,miR34,p38,p53
doubleOutdegree,6.0,4.0,22.0,0.0,2.0,190.0,4.0,4.0,2.0,2.0,2.0,2.0,0.0,2.0,6.0,2.0,2.0,8.0,2.0,16.0,12.0,4.0,18.0,8.0,0.0,4.0,8.0,18.0,2.0,6.0,2.0,20.0
"[('RAF', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('AKT', 0)]",0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.3105263157894737,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.16666666666666666,0.5,-0.5,-0.5,-0.5,-0.25,-0.5,0.0,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.1
"[('ERK', 0)]",-0.3333333333333333,-0.5,0.0,,0.0,-0.30526315789473685,-0.25,-0.5,-0.5,-0.5,-0.5,0.5,,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.1875,-0.5,-0.5,-0.3888888888888889,-0.5,,-0.5,-0.25,-0.1111111111111111,-0.5,-0.3333333333333333,-0.5,-0.35
"[('ZEB1', 0)]",-0.5,-0.5,-0.045454545454545456,,-0.5,-0.34210526315789475,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.3333333333333333,-0.5,-0.5,-0.5,,-0.5,0.25,-0.3888888888888889,0.5,-0.5,-0.5,-0.3
"[('PI3K', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.3526315789473684,-0.5,0.0,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,0.5,-0.5,-0.25,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.1
"[('GSK3b', 0)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('miR34', 1)]",-0.5,0.0,-0.3181818181818182,,0.5,-0.33157894736842103,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.3333333333333333,-0.5,-0.3888888888888889,-0.5,,-0.5,-0.25,-0.3888888888888889,-0.5,0.5,-0.5,-0.1
"[('AP1', 0)]",-0.5,0.0,-0.13636363636363635,,0.5,-0.3526315789473684,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.5,-0.5,-0.5,,0.0,-0.5,-0.3888888888888889,-0.5,-0.5,0.5,-0.2
"[('PI3K', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('Twist1', 1)]",-0.5,0.0,-0.22727272727272727,,0.5,-0.39473684210526316,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('MYC', 0)]",-0.5,0.0,-0.13636363636363635,,-0.5,-0.3736842105263158,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.2777777777777778,-0.5,-0.16666666666666666,-0.5,-0.1
"[('IKK', 0)]",-0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.3631578947368421,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.5,0.0,-0.5,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,-0.5,-0.2
"[('TAK1', 0)]",-0.16666666666666666,0.0,-0.22727272727272727,,0.5,-0.34210526315789475,-0.5,-0.5,-0.5,0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.25,-0.5,-0.375,-0.5,-0.5,-0.3888888888888889,-0.5,,-0.5,-0.5,-0.3888888888888889,-0.5,-0.5,0.5,-0.2
"[('MDM2', 0)]",-0.5,0.0,-0.13636363636363635,,-0.5,-0.29473684210526313,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.375,-0.25,-0.5,-0.4444444444444444,-0.375,,-0.5,-0.25,-0.2222222222222222,-0.5,0.0,-0.5,0.1
