,Ecadherin,EpCAM,MYC,Snail,THY1,Twist1,ZEB1,miR200,miR34,cosineSim1,cosineSim2,Diff,Diff_pheno,weight,rEMTscore,chemo_rEMTscore,F_major_att,att_stability,major_att_size
Desired1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,,,
Desired2,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000002,1.0,-1.0,1.0,0.0,1.0000000000000002,,,
"[('AKT', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-59.0,0.0,1.0
"[('AKT', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('AP1', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-67.0,0.0,1.0
"[('AP1', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('ERK', 0)]",0.0,1.0,0.5368294012302421,1.0,1.0,1.0,1.0,0.0,0.0,0.5515792420015381,0.3858439367547824,-1.0,1.0,0.0,0.0,0.0,-52.0,1.035159883845884,0.4987392114231638
"[('ERK', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('Ecadherin', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('Ecadherin', 1)]",1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6123724356957946,0.4714045207910318,0.0,0.0,0.5,0.3061862178478973,0.2357022603955159,-69.0,0.0,1.0
"[('EpCAM', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('EpCAM', 1)]",0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6123724356957946,0.4714045207910318,-1.0,1.0,0.0,0.0,0.0,-77.0,0.0,1.0
"[('GLI', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-65.0,0.0,1.0
"[('GLI', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('GRB2SOS', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-69.0,0.0,1.0
"[('GRB2SOS', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('GSK3b', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-75.0,0.0,1.0
"[('GSK3b', 1)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-53.0,0.0,1.0
"[('IKK', 0)]",0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.4472135954999579,0.25819888974716115,-1.0,1.0,0.0,0.0,0.0,-69.0,0.0,1.0
