,Fvalue,x1,x2,x3,x4,x5,x6,x7,x8,x9
doubleIndegree,38.0,2.0,4.0,4.0,6.0,6.0,2.0,4.0,4.0,6.0
"[('x5', 0)]",0.06578947368421052,0.0,0.25,0.25,0.0,-0.2916666666666667,0.0,0.25,0.25,0.041666666666666664
"[('x4', 0)]",-0.03289473684210526,0.0,-0.25,0.0,0.0,-0.041666666666666664,0.0,0.0,0.0,0.0
"[('x2', 0)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('x7', 1)]",0.046052631578947366,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.041666666666666664
"[('x5', 1)]",-0.11842105263157894,0.0,-0.25,-0.25,-0.16666666666666666,-0.2916666666666667,0.0,0.0,0.0,0.041666666666666664
"[('x2', 1)]",0.06578947368421052,0.0,0.25,0.0,0.0,0.041666666666666664,0.0,0.25,0.25,-0.125
"[('x9', 0)]",-0.046052631578947366,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,0.041666666666666664
"[('x1', 1)]",-0.14473684210526316,0.0,-0.25,0.0,-0.3333333333333333,0.041666666666666664,0.0,-0.25,-0.25,-0.125
"[('x8', 1)]",0.05921052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.375,-0.041666666666666664
"[('x6', 1)]",-0.11842105263157894,0.0,-0.25,-0.25,-0.16666666666666666,-0.2916666666666667,0.0,0.0,0.0,0.041666666666666664
"[('x9', 1)]",0.05921052631578947,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.041666666666666664
"[('x3', 0)]",0.11842105263157894,0.0,0.25,0.5,0.0,0.041666666666666664,0.0,0.25,0.25,-0.125
"[('x7', 0)]",0.006578947368421052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041666666666666664
"[('x8', 0)]",-0.019736842105263157,0.0,0.0,0.0,0.0,0.0,0.0,-0.25,0.0,0.041666666666666664
"[('x1', 0)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('x6', 0)]",0.06578947368421052,0.0,0.25,0.25,0.0,-0.2916666666666667,0.0,0.25,0.25,0.041666666666666664
"[('x3', 1)]",-0.11842105263157894,0.0,-0.25,-0.25,-0.16666666666666666,-0.2916666666666667,0.0,0.0,0.0,0.041666666666666664
"[('x4', 1)]",0.08552631578947369,0.0,0.25,0.0,0.3333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0
