,Fvalue,x1,x2,x3,x4,x5,x6,x7,x8,x9
doubleOutdegree,38.0,10.0,2.0,6.0,4.0,2.0,6.0,2.0,4.0,2.0
"[('x5', 0)]",0.06578947368421052,0.3,0.5,-0.16666666666666666,0.0625,0.0,0.16666666666666666,-0.375,-0.25,0.0
"[('x4', 0)]",-0.03289473684210526,-0.1,0.0,0.125,-0.3125,0.0,0.041666666666666664,0.0,0.0,0.0
"[('x2', 0)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('x7', 1)]",0.046052631578947366,0.1,0.0,0.041666666666666664,0.0,0.0,-0.041666666666666664,-0.125,0.25,0.0
"[('x5', 1)]",-0.11842105263157894,-0.1,-0.5,0.0,-0.4375,0.0,0.0,-0.375,0.0,0.0
"[('x2', 1)]",0.06578947368421052,0.5,-0.5,0.0,-0.1875,0.0,0.16666666666666666,-0.375,-0.25,0.0
"[('x9', 0)]",-0.046052631578947366,-0.2,0.0,0.125,0.0,0.0,0.041666666666666664,-0.375,0.0,0.0
"[('x1', 1)]",-0.14473684210526316,-0.3,-0.5,0.0,-0.1875,0.0,0.16666666666666666,-0.375,-0.25,0.0
"[('x8', 1)]",0.05921052631578947,0.2,0.0,0.041666666666666664,0.0,0.0,-0.041666666666666664,-0.125,0.0,0.25
"[('x6', 1)]",-0.11842105263157894,-0.1,-0.5,0.0,-0.4375,0.0,0.0,-0.375,0.0,0.0
"[('x9', 1)]",0.05921052631578947,0.2,0.0,0.125,0.0,0.0,0.041666666666666664,-0.375,0.0,0.0
"[('x3', 0)]",0.11842105263157894,0.3,0.5,0.0,0.3125,0.0,0.16666666666666666,-0.375,-0.25,0.0
"[('x7', 0)]",0.006578947368421052,-0.1,0.0,-0.041666666666666664,0.0,0.0,0.041666666666666664,0.125,0.25,0.0
"[('x8', 0)]",-0.019736842105263157,-0.2,0.0,-0.041666666666666664,0.0,0.0,0.041666666666666664,0.125,0.0,0.5
"[('x1', 0)]",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('x6', 0)]",0.06578947368421052,0.3,0.5,-0.16666666666666666,0.0625,0.0,0.16666666666666666,-0.375,-0.25,0.0
"[('x3', 1)]",-0.11842105263157894,-0.1,-0.5,0.0,-0.4375,0.0,0.0,-0.375,0.0,0.0
"[('x4', 1)]",0.08552631578947369,0.1,0.0,0.20833333333333334,0.3125,0.0,-0.041666666666666664,0.0,0.0,0.0
