,Fvalue,x1,x2,x3,x4,x5,x6,x7,x8,x9
doubleIndegree,38.0,2.0,4.0,4.0,6.0,6.0,2.0,4.0,4.0,6.0
"[('x5', 0)]",-0.18421052631578946,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,0.0,0.0,-0.16666666666666666
"[('x4', 0)]",-0.28289473684210525,-0.5,-0.5,-0.25,-0.16666666666666666,-0.25,-0.5,-0.25,-0.25,-0.20833333333333334
"[('x2', 0)]",-0.25,-0.5,-0.25,-0.25,-0.16666666666666666,-0.20833333333333334,-0.5,-0.25,-0.25,-0.20833333333333334
"[('x7', 1)]",-0.20394736842105263,-0.5,-0.25,-0.25,-0.16666666666666666,-0.20833333333333334,-0.5,0.25,-0.25,-0.25
"[('x5', 1)]",-0.3684210526315789,-0.5,-0.5,-0.5,-0.3333333333333333,-0.5,-0.5,-0.25,-0.25,-0.16666666666666666
"[('x2', 1)]",-0.18421052631578946,-0.5,0.0,-0.25,-0.16666666666666666,-0.16666666666666666,-0.5,0.0,0.0,-0.3333333333333333
"[('x9', 0)]",-0.29605263157894735,-0.5,-0.25,-0.25,-0.16666666666666666,-0.20833333333333334,-0.5,-0.5,-0.5,-0.16666666666666666
"[('x1', 1)]",-0.39473684210526316,-0.5,-0.5,-0.25,-0.5,-0.16666666666666666,-0.5,-0.5,-0.5,-0.3333333333333333
"[('x8', 1)]",-0.19078947368421054,-0.5,-0.25,-0.25,-0.16666666666666666,-0.20833333333333334,-0.5,0.0,0.125,-0.25
"[('x6', 1)]",-0.3684210526315789,-0.5,-0.5,-0.5,-0.3333333333333333,-0.5,-0.5,-0.25,-0.25,-0.16666666666666666
"[('x9', 1)]",-0.19078947368421054,-0.5,-0.25,-0.25,-0.16666666666666666,-0.20833333333333334,-0.5,0.0,0.0,-0.16666666666666666
"[('x3', 0)]",-0.13157894736842105,-0.5,0.0,0.25,-0.16666666666666666,-0.16666666666666666,-0.5,0.0,0.0,-0.3333333333333333
"[('x7', 0)]",-0.24342105263157895,-0.5,-0.25,-0.25,-0.16666666666666666,-0.20833333333333334,-0.5,-0.25,-0.25,-0.16666666666666666
"[('x8', 0)]",-0.26973684210526316,-0.5,-0.25,-0.25,-0.16666666666666666,-0.20833333333333334,-0.5,-0.5,-0.25,-0.16666666666666666
"[('x1', 0)]",-0.25,-0.5,-0.25,-0.25,-0.16666666666666666,-0.20833333333333334,-0.5,-0.25,-0.25,-0.20833333333333334
"[('x6', 0)]",-0.18421052631578946,-0.5,0.0,0.0,-0.16666666666666666,-0.5,-0.5,0.0,0.0,-0.16666666666666666
"[('x3', 1)]",-0.3684210526315789,-0.5,-0.5,-0.5,-0.3333333333333333,-0.5,-0.5,-0.25,-0.25,-0.16666666666666666
"[('x4', 1)]",-0.16447368421052633,-0.5,0.0,-0.25,0.16666666666666666,-0.16666666666666666,-0.5,-0.25,-0.25,-0.20833333333333334
