,Fvalue,Input,Output1,Output2,n2,n3,n4,n5,n6,n7,n8,n9
doubleOutdegree,44.0,10.0,0.0,0.0,2.0,8.0,6.0,4.0,6.0,2.0,4.0,2.0
"[('n2', 0)]",0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('n7', 0)]",0.005681818181818182,-0.1,,,0.0,-0.03125,0.0,0.0,0.041666666666666664,0.125,0.25,0.0
"[('n5', 0)]",0.03409090909090909,0.3,,,0.5,-0.1875,0.041666666666666664,-0.125,0.16666666666666666,-0.375,-0.25,0.0
"[('Input', 0)]",0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"[('n9', 0)]",-0.03977272727272727,-0.2,,,0.0,0.09375,0.0,0.0,0.041666666666666664,-0.375,0.0,0.0
"[('n6', 0)]",0.03409090909090909,0.3,,,0.5,-0.1875,0.041666666666666664,-0.125,0.16666666666666666,-0.375,-0.25,0.0
"[('Output1', 0)]",0.022727272727272728,0.0,,,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
"[('Output2', 0)]",0.028409090909090908,0.0,,,0.0,0.0625,0.0,0.1875,0.0,0.0,0.0,0.0
"[('n2', 1)]",0.056818181818181816,0.5,,,-0.5,-0.0625,-0.125,0.125,0.16666666666666666,-0.375,-0.25,0.0
"[('n7', 1)]",0.03977272727272727,0.1,,,0.0,0.03125,0.0,0.0,-0.041666666666666664,-0.125,0.25,0.0
"[('n3', 1)]",-0.125,-0.1,,,-0.5,-0.0625,-0.2916666666666667,-0.125,0.0,-0.375,0.0,0.0
"[('n5', 1)]",-0.125,-0.1,,,-0.5,-0.0625,-0.2916666666666667,-0.125,0.0,-0.375,0.0,0.0
"[('Input', 1)]",-0.125,-0.3,,,-0.5,-0.0625,-0.125,0.125,0.16666666666666666,-0.375,-0.25,0.0
"[('n6', 1)]",-0.125,-0.1,,,-0.5,-0.0625,-0.2916666666666667,-0.125,0.0,-0.375,0.0,0.0
"[('n8', 1)]",0.05113636363636364,0.2,,,0.0,0.03125,0.0,0.0,-0.041666666666666664,-0.125,0.0,0.25
"[('Output2', 1)]",0.017045454545454544,0.0,,,0.0,0.0625,0.0,0.0625,0.0,0.0,0.0,0.0
"[('Output1', 1)]",0.022727272727272728,0.0,,,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0
"[('n4', 1)]",0.07386363636363637,0.1,,,0.0,0.15625,0.20833333333333334,0.0,-0.041666666666666664,0.0,0.0,0.0
"[('n4', 0)]",-0.028409090909090908,-0.1,,,0.0,0.09375,-0.20833333333333334,0.0,0.041666666666666664,0.0,0.0,0.0
"[('n3', 0)]",0.10227272727272728,0.3,,,0.5,-0.0625,0.20833333333333334,0.125,0.16666666666666666,-0.375,-0.25,0.0
"[('n9', 1)]",0.05113636363636364,0.2,,,0.0,0.09375,0.0,0.0,0.041666666666666664,-0.375,0.0,0.0
"[('n8', 0)]",-0.017045454545454544,-0.2,,,0.0,-0.03125,0.0,0.0,0.041666666666666664,0.125,0.0,0.5
